"R","n","onTop","density","density2","indicator"
0.4,2,0.009075531198518075,0.08447819671675416,0.007136565720514613,2.5433889503545815
0.4,3,0.000012916633625653115,0.005324745901625844,0.000028352918916881222,0.9111325478353202
0.4,4,8.235505032402125e-8,0.0007759188549449358,6.020500694590604e-7,0.27358206402340235
0.4,5,1.0002855570426065e-9,0.00016536745599245596,2.734639550141686e-8,0.07315666571053434
0.4,6,1.7531218313617088e-11,0.000044032178967754775,1.938832784648386e-9,0.01808430149565109
0.41000000000000003,2,0.009002316316384647,0.08423847628087647,0.007096120886123787,2.5372499879443593
0.41000000000000003,3,0.000012895725619237335,0.005323269783856155,0.000028337201191715953,0.9101622656373876
0.41000000000000003,4,8.230631848849746e-8,0.0007759273604701032,6.020632687261015e-7,0.27341418340517076
0.41000000000000003,5,1.000004507796915e-9,0.00016537732233523665,2.7349658742772764e-8,0.07312738467430929
0.41000000000000003,6,1.7528498196158785e-11,0.00004403496511233589,1.9390781524446394e-9,0.01807920755959239
0.42000000000000004,2,0.008927906319620128,0.08399337271196873,0.007054886659531694,2.5309850463884747
0.42000000000000004,3,0.00001287433647261276,0.005321756321146972,0.000028321090341667756,0.9091695494273561
0.42000000000000004,4,8.225641331043966e-8,0.0007759360238584963,6.02076713121333e-7,0.2732423012476253
0.42000000000000004,5,9.997166009783583e-10,0.0001653874286799656,2.7353001565370706e-8,0.07309739653903387
0.42000000000000004,6,1.752571135311533e-11,0.00004403781971671986,1.9393295654023206e-9,0.01807398975994012
0.43,2,0.008852340724649289,0.08374292519534003,0.007012877520272316,2.5245958450178505
0.43,3,0.000012852468693488063,0.00532020545025037,0.00002830458603287374,0.9081545074399496
0.43,4,8.220533695955224e-8,0.0007759448413195581,6.020903967704341e-7,0.27306642790017993
0.43,5,9.994218425559523e-10,0.00016539777476294238,2.7356423896533016e-8,0.07306670245613593
0.43,6,1.7522857816448506e-11,0.000044040742756491646,1.9395870225434715e-9,0.01806864823571562
0.44,2,0.00877565940774019,0.08348717384540348,0.006970108196692623,2.5180841272749017
0.44,3,0.00001283012484274889,0.00531861710668356,0.000028287687927507,0.907117250135728
0.44,4,8.215309165554178e-8,0.0007759538089744299,6.021043136619261e-7,0.2728865739423009
0.44,5,9.991202386395722e-10,0.00016540836031417902,2.7359925661825273e-8,0.07303530360344682
0.44,6,1.7519937618881455e-11,0.00004404373420664978,1.939850522866012e-9,0.018063183129179258
0.45,2,0.008697902570197615,0.08322615970272532,0.006926593658863539,2.5114516596675016
0.45,3,0.000012807307533958151,0.005316991224748976,0.00002827039568405761,0.9060578901752349
0.45,4,8.20996796679562e-8,0.0007759629228561661,6.021184576474844e-7,0.2727027501821649
0.45,5,9.988117954797402e-10,0.00016541918505740455,2.736350678505585e-8,0.07300320118510728
0.45,6,1.7516950793898085e-11,0.000044046794041606594,1.94012006534371e-9,0.018057594585822498
0.46,2,0.00861911070353094,0.08295992473080982,0.006882349111341631,2.504700230718389
